GOLDLION HOLD,3.120,3.00,4.0%
REXLOT HOLDINGS,0.051,0.05,2.0%
DETAI NEWENERGY,0.052,0.05,4.0%
JNCEC,1.920,1.90,1.05263157895%
BEIJING N STAR,2.630,2.53,3.95256916996%
BOSSINI INT'L,0.385,0.38,1.31578947368%
DREAMEAST,10.600,10.30,2.91262135922%
E. BON HOLDINGS,0.550,0.55,0.0%
SHENZHEN INVEST,3.230,3.09,4.53074433657%
C FIN SERVICES,0.650,0.62,4.83870967742%
TAUNG GOLD,0.049,0.047,4.25531914894%
PUBLIC FIN HOLD,3.330,3.26,2.1472392638%
BONJOUR HOLD,0.242,0.232,4.31034482759%
HK CHINESE LTD,1.330,1.28,3.90625%
CHINA HEALTH,0.121,0.129,-6.2015503876%
GOLDEN RES DEV,0.480,0.46,4.34782608696%
GENTING HK,1.620,1.61,0.621118012422%
MEDIA CHINESE,0.750,0.74,1.35135135135%
TONGDA GROUP,1.780,1.71,4.09356725146%
GIORDANO INT'L,3.870,3.77,2.6525198939%
SUSTAIN FOREST,0.019,0.02,-5.0%
CHINA TELECOM,3.410,3.45,-1.15942028986%
LE SAUNDA,1.270,1.26,0.793650793651%
CEC INT'L HOLD,0.480,0.475,1.05263157895%
CKLIFE SCIENCES,0.580,0.56,3.57142857143%
GLOBAL BIO-CHEM,0.110,0.106,3.77358490566%
KA SHUI INT'L,0.455,0.445,2.24719101124%
CHINA RES POWER,12.940,12.94,0.0%
TIANJIN DEV,3.500,3.40,2.94117647059%
WAI YUEN TONG,0.325,0.32,1.5625%
HUANENG POWER,4.640,4.61,0.650759219089%
SUGA INT'L,2.440,2.36,3.38983050847%
CHINA LONGYUAN,5.100,5.02,1.59362549801%
IPE GROUP,1.500,1.44,4.16666666667%
CHINA MOBILE,73.550,74.00,-0.608108108108%
LENOVO GROUP,3.820,3.89,-1.79948586118%
CARNIVAL GROUP,0.355,0.34,4.41176470588%
IRC,0.179,0.171,4.6783625731%
ZHONG HUA INT'L,0.250,0.241,3.73443983402%
TIANJIN CAPITAL,4.250,4.14,2.65700483092%
HUADIAN POWER,2.640,2.55,3.52941176471%
DONGFANG ELEC,6.190,5.94,4.20875420875%
MAINLAND HOLD,1.340,1.33,0.751879699248%
GOLIK HOLDINGS,0.940,0.90,4.44444444444%
HARBIN ELECTRIC,2.900,2.85,1.75438596491%
ASIA SATELLITE,7.000,6.70,4.4776119403%
CHINA RAIL CONS,8.180,8.08,1.23762376238%
COSCO SHIP PORT,7.250,7.27,-0.275103163686%
TESSON HOLDINGS,1.080,1.03,4.85436893204%
GUANGNAN (HOLD),0.930,0.90,3.33333333333%
CITIC RESOURCES,0.730,0.70,4.28571428571%
KAI YUAN HLDGS,0.046,0.044,4.54545454545%
NATIONAL INV,0.034,0.033,3.0303030303%
SHUANGHUA H,0.380,0.39,-2.5641025641%
NIRAKU,0.640,0.62,3.22580645161%
DATANG ENVIRO,2.830,2.75,2.90909090909%
NEW CENT REIT,2.400,2.30,4.34782608696%
CHINA CINDA,2.850,2.73,4.3956043956%
GF SEC,14.900,14.52,2.61707988981%
CHINA COMM CONS,8.230,8.16,0.857843137255%
CHINAPROPERTIES,1.580,1.53,3.26797385621%
HUIYUAN JUICE,2.050,1.98,3.53535353535%
SANAI HEALTH GP,0.244,0.24,1.66666666667%
PHOENIX TV,0.930,0.90,3.33333333333%
REAL NUTRI,0.241,0.239,0.836820083682%
FIH,2.160,2.08,3.84615384615%
NPE HOLDINGS,0.142,0.137,3.6496350365%
ECOGREEN,1.470,1.43,2.7972027972%
BAOYE GROUP,5.060,4.90,3.26530612245%
CHINA POWER,1.930,1.86,3.76344086022%
CHINA LIFE,22.750,22.30,2.01793721973%
CHONGQING M&E,0.750,0.73,2.7397260274%
SH ELECTRIC,2.830,2.78,1.79856115108%
ABF HK IDX ETF,100.200,98.10,2.14067278287%
COSCO SHIP DEV,1.540,1.47,4.7619047619%
DALIAN PORT,1.340,1.31,2.29007633588%
LONGRUN TEA,0.380,0.365,4.1095890411%
ADDCHANCE,0.300,0.295,1.69491525424%
XIAMEN PORT,1.440,1.39,3.59712230216%
GLOBAL SWEET,0.201,0.195,3.07692307692%
CISCO-T,0.000,60.00,-100.0%
INTEL-T,0.000,100.00,-100.0%
MICROSOFT-T,0.000,200.00,-100.0%
CSC,6.700,6.47,3.55486862442%
HKT-SS,9.770,9.36,4.38034188034%
HAITONG SEC,11.000,10.82,1.66358595194%
CGS,5.380,5.19,3.66088631985%
EGL HOLDINGS,1.280,1.26,1.5873015873%
BEIDA JADE BIRD,1.340,1.28,4.6875%
